F-At1,F-At2,F-At3,F-At4,F-At5,F-At6,F-At7,F-At8,F-At9,F-At10,F-At11,F-At12,F-At13,F-At14,F-At15,F-At16,A-Actual,Predicted,P-L8,P-L2,P-L1,P-L4,P-L6,P-L0,P-L5,P-L9,P-L7,P-L3,pred_nb,pred_3nn,pred2_nn
47.0,100.0,27.0,81.0,57.0,37.0,26.0,0.0,0.0,23.0,56.0,53.0,100.0,90.0,40.0,98.0,L8,L0,0.223,0.002,0.0,0.001,0.098,0.563,0.08,0.0,0.033,0.0,L8,L8,L8
0.0,89.0,27.0,100.0,42.0,75.0,29.0,45.0,15.0,15.0,37.0,0.0,69.0,2.0,100.0,6.0,L2,L2,0.0,0.9590000000000001,0.001,0.005,0.004,0.0,0.005,0.0,0.01,0.015,L2,L1,L2
0.0,57.0,31.0,68.0,72.0,90.0,100.0,100.0,76.0,75.0,50.0,51.0,28.0,25.0,16.0,0.0,L1,L1,0.0,0.002,0.863,0.012,0.0,0.0,0.009000000000000001,0.0,0.002,0.111,L1,L1,L1
0.0,100.0,7.0,92.0,5.0,68.0,19.0,45.0,86.0,34.0,100.0,45.0,74.0,23.0,67.0,0.0,L4,L4,0.0,0.002,0.001,0.9470000000000001,0.004,0.012,0.002,0.0,0.0,0.03,L4,L4,L4
0.0,67.0,49.0,83.0,100.0,100.0,81.0,80.0,60.0,60.0,40.0,40.0,33.0,20.0,47.0,0.0,L1,L1,0.0,0.025,0.929,0.004,0.0,0.0,0.008,0.0,0.006,0.027999999999999997,L1,L1,L1
100.0,100.0,88.0,99.0,49.0,74.0,17.0,47.0,0.0,16.0,37.0,0.0,73.0,16.0,20.0,20.0,L6,L6,0.004,0.02,0.0,0.0,0.966,0.0,0.0,0.001,0.008,0.0,L6,L6,L6
0.0,100.0,3.0,72.0,26.0,35.0,85.0,35.0,100.0,71.0,73.0,97.0,65.0,49.0,66.0,0.0,L4,L4,0.001,0.002,0.016,0.917,0.0,0.043,0.006999999999999999,0.003,0.0,0.012,L4,L4,L4
0.0,39.0,2.0,62.0,11.0,5.0,63.0,0.0,100.0,43.0,89.0,99.0,36.0,100.0,0.0,57.0,L0,L0,0.016,0.0,0.001,0.011000000000000001,0.001,0.9520000000000001,0.011000000000000001,0.001,0.006999999999999999,0.0,L0,L0,L0
13.0,89.0,12.0,50.0,72.0,38.0,56.0,0.0,4.0,17.0,0.0,61.0,32.0,94.0,100.0,100.0,L5,L5,0.031,0.035,0.001,0.001,0.001,0.01,0.894,0.0,0.027000000000000003,0.0,L8,L5,L5
74.0,87.0,31.0,100.0,0.0,69.0,62.0,64.0,100.0,79.0,100.0,38.0,84.0,0.0,18.0,1.0,L9,L9,0.006,0.013999999999999999,0.001,0.11199999999999999,0.001,0.002,0.0,0.857,0.001,0.006,L9,L9,L9
48.0,96.0,62.0,65.0,88.0,27.0,21.0,0.0,21.0,33.0,79.0,67.0,100.0,100.0,0.0,85.0,L8,L0,0.025,0.0,0.0,0.0,0.096,0.787,0.016,0.0,0.075,0.0,L8,L0,L8
100.0,100.0,72.0,99.0,36.0,78.0,34.0,54.0,79.0,47.0,64.0,13.0,19.0,0.0,0.0,2.0,L5,L6,0.003,0.011000000000000001,0.005,0.018000000000000002,0.495,0.001,0.0,0.377,0.03,0.059000000000000004,L3,L5,L5
91.0,74.0,54.0,100.0,0.0,87.0,23.0,59.0,81.0,67.0,100.0,39.0,79.0,4.0,21.0,0.0,L9,L9,0.005,0.004,0.013999999999999999,0.025,0.002,0.001,0.0,0.9490000000000001,0.001,0.001,L9,L9,L9
0.0,85.0,38.0,100.0,81.0,88.0,87.0,50.0,84.0,12.0,58.0,0.0,53.0,22.0,100.0,24.0,L7,L7,0.001,0.24600000000000002,0.09699999999999999,0.009000000000000001,0.0,0.0,0.015,0.0,0.43,0.201,L2,L1,L2
35.0,76.0,57.0,100.0,100.0,92.0,68.0,66.0,81.0,38.0,82.0,9.0,32.0,0.0,0.0,17.0,L3,L3,0.0,0.005,0.001,0.002,0.002,0.0,0.0,0.0,0.057999999999999996,0.9309999999999999,L3,L3,L3
50.0,84.0,66.0,100.0,75.0,75.0,51.0,51.0,100.0,42.0,97.0,13.0,49.0,0.0,0.0,7.0,L3,L3,0.0,0.003,0.001,0.011000000000000001,0.008,0.001,0.0,0.004,0.02,0.9540000000000001,L3,L3,L3
99.0,80.0,63.0,100.0,25.0,76.0,79.0,68.0,100.0,62.0,97.0,23.0,54.0,0.0,0.0,16.0,L9,L9,0.006,0.001,0.004,0.001,0.001,0.002,0.0,0.9790000000000001,0.006,0.001,L9,L9,L9
24.0,66.0,43.0,100.0,59.0,65.0,34.0,28.0,0.0,1.0,16.0,11.0,58.0,0.0,100.0,1.0,L2,L2,0.002,0.951,0.002,0.0,0.011000000000000001,0.0,0.013000000000000001,0.0,0.019,0.0,L2,L2,L2
0.0,73.0,19.0,99.0,72.0,100.0,70.0,73.0,32.0,48.0,5.0,18.0,46.0,0.0,100.0,0.0,L2,L2,0.001,0.738,0.22899999999999998,0.01,0.0,0.0,0.005,0.001,0.006,0.01,L2,L2,L2
12.0,77.0,20.0,62.0,78.0,40.0,50.0,0.0,1.0,17.0,0.0,64.0,23.0,98.0,100.0,100.0,L5,L5,0.045,0.028999999999999998,0.001,0.002,0.001,0.01,0.883,0.0,0.028999999999999998,0.0,L8,L5,L5
0.0,46.0,49.0,64.0,78.0,87.0,100.0,100.0,91.0,75.0,85.0,49.0,75.0,24.0,89.0,0.0,L1,L1,0.002,0.005,0.946,0.002,0.0,0.001,0.006,0.037000000000000005,0.001,0.0,L1,L1,L1
10.0,86.0,34.0,66.0,68.0,34.0,34.0,0.0,4.0,26.0,0.0,69.0,34.0,95.0,100.0,100.0,L5,L5,0.055,0.027000000000000003,0.001,0.002,0.001,0.011000000000000001,0.884,0.0,0.017,0.0,L5,L5,L5
73.0,62.0,53.0,100.0,0.0,72.0,82.0,39.0,100.0,0.0,15.0,14.0,52.0,57.0,90.0,94.0,L8,L8,0.48700000000000004,0.0,0.23199999999999998,0.0,0.0,0.138,0.002,0.08900000000000001,0.052000000000000005,0.0,L8,L8,L8
54.0,100.0,34.0,75.0,6.0,43.0,0.0,11.0,70.0,0.0,100.0,28.0,44.0,46.0,36.0,21.0,L6,L6,0.001,0.0,0.0,0.068,0.888,0.033,0.004,0.0,0.003,0.002,L6,L6,L6
11.0,100.0,0.0,69.0,15.0,43.0,87.0,47.0,100.0,65.0,74.0,67.0,71.0,33.0,66.0,0.0,L4,L4,0.0,0.003,0.006,0.887,0.0,0.023,0.004,0.004,0.0,0.07200000000000001,L4,L4,L4
36.0,92.0,7.0,83.0,0.0,37.0,26.0,0.0,77.0,6.0,100.0,46.0,84.0,89.0,36.0,100.0,L0,L0,0.006,0.0,0.0,0.003,0.008,0.9670000000000001,0.006,0.0,0.009000000000000001,0.0,L0,L0,L0
46.0,100.0,10.0,83.0,34.0,64.0,100.0,77.0,71.0,82.0,49.0,54.0,22.0,27.0,0.0,0.0,L4,L4,0.0,0.081,0.0,0.6559999999999999,0.006,0.001,0.0,0.017,0.0,0.23800000000000002,L4,L4,L4
61.0,59.0,58.0,100.0,0.0,84.0,44.0,42.0,80.0,0.0,8.0,5.0,33.0,44.0,100.0,70.0,L8,L1,0.272,0.0,0.631,0.0,0.0,0.016,0.005,0.011000000000000001,0.065,0.0,L8,L1,L8
100.0,84.0,31.0,100.0,0.0,88.0,8.0,70.0,15.0,53.0,15.0,35.0,0.0,17.0,0.0,0.0,L1,L6,0.013000000000000001,0.013999999999999999,0.001,0.004,0.94,0.0,0.0,0.026000000000000002,0.001,0.0,L8,L6,L5
